codigo,alimento,energia_kcal,carbohidratos_g,proteinas_g,grasas_totales_g,fuente,grupo
,,339.0,77.5,6.9,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,82.0,19.1,1.4,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,383.0,,15.6,7.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,343.0,56.9,12.8,7.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,86.0,13.4,3.8,1.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,317.0,65.6,10.2,1.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,82.0,16.5,3.8,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,328.0,68.0,10.2,1.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,332.0,72.2,8.9,0.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,206.0,41.5,8.7,0.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,214.0,41.0,10.4,0.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,97.0,17.8,3.7,1.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,346.0,67.6,9.5,0.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,369.0,,11.1,3.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,338.0,64.5,9.1,4.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,68.0,11.9,3.2,0.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,275.0,,9.1,2.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,347.0,,12.4,2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,382.0,67.1,5.9,10.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,395.0,,11.0,8.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,401.0,,10.2,8.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,300.0,,9.8,1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,361.0,,12.8,0.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,442.0,,13.5,15.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,437.0,,12.2,13.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,410.0,64.2,12.2,11.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,411.0,56.5,10.6,15.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,417.0,,8.5,10.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,419.0,,8.2,13.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,442.0,,4.9,21.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,342.0,,12.5,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,340.0,68.7,10.3,2.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,348.0,70.8,10.2,2.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,308.0,58.8,11.4,3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,171.0,14.0,16.3,5.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,269.0,,9.3,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,268.0,57.0,8.4,0.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,264.0,,8.9,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,280.0,,8.7,0.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,307.0,,9.8,1.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,223.0,42.3,9.8,1.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,271.0,,8.4,0.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,269.0,,9.5,2.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,269.0,,9.6,0.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,349.0,,11.7,0.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,70.0,,2.4,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,98.0,,4.1,1.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,21.0,,1.6,0.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,99.0,,4.4,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,63.0,,2.9,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,57.0,,6.6,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,102.0,,8.9,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,77.0,,5.8,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,105.0,18.3,6.0,0.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,304.0,46.9,22.5,2.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,311.0,49.1,22.0,2.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,129.0,,8.2,0.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,668.0,,12.7,60.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,84.0,,1.1,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,92.0,,1.2,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,212.0,,1.7,7.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,28.0,,1.1,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,23.0,,1.7,0.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,37.0,,3.3,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,25.0,,1.4,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,731.0,,18.1,72.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,17.0,,0.8,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,10.0,,0.6,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,31.0,,2.4,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,22.0,,2.4,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,24.0,,1.6,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,26.0,,2.2,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,24.0,,3.9,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,13.0,,2.5,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,125.0,,6.1,2.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,99.0,,6.7,0.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,24.0,,1.9,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,350.0,,20.8,0.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,576.0,,33.2,44.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,592.0,,34.8,45.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,51.0,,4.2,1.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,10.0,,1.0,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,11.0,,0.8,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,715.0,,13.9,67.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,88.0,,2.7,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,88.0,,2.4,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,162.0,,2.9,6.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,15.0,,0.7,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,60.0,,3.7,1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,221.0,,14.6,1.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,648.0,,22.3,54,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,290.0,42.3,23.9,2.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,89.0,11.9,8.4,0.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,45.0,,2.5,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,354.0,,13.8,5.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,341.0,,4.4,1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,29.0,,1.3,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,2.2,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,54.0,,2.4,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,36.0,,1.0,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,58.0,,4.4,0.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,17.0,,2.4,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,16.0,,2.2,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,85.0,,3.5,1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,356.0,11.2,34.6,24.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,336.0,,2.0,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,55.0,,0.1,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,20.0,,1.0,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,21.0,,1.0,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,11.0,,1.0,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,23.0,,1.6,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,1.1,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,22.0,,1.0,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,13.0,,0.8,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,16.0,,1.3,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,144.0,,1.5,13.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,58.0,,0.4,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,87.0,,0.4,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,99.0,,1.2,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,68.0,,1.1,0.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,56.0,,0.7,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,255.0,,1.9,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,165.0,,1.0,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,382.0,,3.4,34.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,57.0,,1.0,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,51.0,,0.5,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,75.0,,0.4,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,40.0,,2.5,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,41.0,,0.8,0.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,75.0,,0.6,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,88.0,,1.4,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,87.0,,0.8,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,73.0,,0.9,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,44.0,,0.9,0.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,64.0,,0.3,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,26.0,,0.5,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,28.0,,0.6,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,58.0,,0.3,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,69.0,,1.2,0.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,258.0,,1.7,26.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,70.0,,0.7,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,299.0,,2.3,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,26.0,,0.5,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,31.0,,0.5,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,900.0,,,100,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,898.0,,,99.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,899.0,,,99.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,747.0,,,83,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,747.0,,,83,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,504.0,,,56,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,72.0,,15.8,0.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,92.0,,21.5,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,129.0,,19.2,5.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,100.0,,20.4,2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,3.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,219.0,,22.0,14.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,83.0,,17.6,1.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,232.0,,22.0,15.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,170.0,,17.0,11.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,95.0,,18.4,2.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,107.0,,17.2,4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,86.0,,16.0,2.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,97.0,,19.5,1.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,84.0,,18.8,0.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,80.0,,18.8,0.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,72.0,,17.4,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,149.0,,19.0,8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,78.0,,17.5,0.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,146.0,,17.9,7.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,81.0,,17.1,1.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,83.0,,17.9,1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,215.0,,20.1,14.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,113.0,,19.1,3.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,3.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,90.0,,18.2,1.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,77.0,,18.3,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,86.0,,18.6,1.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,97.0,,17.8,2.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,84.0,,20.2,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,96.0,,20.1,1.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,109.0,,17.1,4.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,136.0,,14.0,8.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,1.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,0.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,110.0,,18.2,4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,79.0,,18.1,0.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,98.0,,18.9,2.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,80.0,,18.5,0.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,79.0,,18.4,0.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,91.0,,21.0,0.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,66.0,,13.9,1.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,83.0,,18.8,0.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,97.0,,22.0,0.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,64.0,,11.9,1.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,95.0,,17.6,1.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,84.0,,21.1,,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,202.0,,20.2,11.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,212.0,,26.5,11.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,250.0,,19.9,18.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,320.0,,25.2,24.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,473.0,,18.0,44.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,211.0,,20.3,14.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,670.0,,8.3,70.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,454.0,,13.0,44.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,99.0,,18.7,2.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,182.0,,28.0,7.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,88.0,,16.3,2.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,198.0,,23.1,11.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,162.0,,28.4,5.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,168.0,,29.8,5.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,64.0,,15.5,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,170.0,,18.4,10.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,189.0,,24.6,10.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,785.0,,0.5,87,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,111.0,,21.0,3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,224.0,,23.7,14.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,132.0,,19.7,3.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,33.0,,6.8,0.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,116.0,,20.0,4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,97.0,,21.2,1.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,335.0,,14.0,31,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,137.0,,15.0,8.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,139.0,,27.2,3.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,95.0,,20.0,1.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,171.0,,23.8,8.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,258.0,,25.6,17.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,241.0,,28.1,14.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
