codigo,alimento,energia_kcal,carbohidratos_g,proteinas_g,grasas_totales_g,fuente,grupo
,,233.0,,36.0,9.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,120.0,,20.7,2.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,197.0,,38.6,4.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,98.0,,19.5,,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,207.0,,37.0,6.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,107.0,,19.0,3.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,231.0,,41.1,6.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,105.0,,18.4,2.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,236.0,,36.5,9.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,120.0,,21.1,2.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,177.0,,35.1,3.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,103.0,,21.0,1.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,192.0,,35.5,5.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,106.0,,18.4,2.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,203.0,,38.4,5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,107.0,,18.4,2.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,3.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,4.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,1.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,3.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,1.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,45.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,1.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,1.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,3.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,3.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,4.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,1.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,3.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,3.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,2.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,4.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,1.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,5.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,3.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,1.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,5.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,1.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,45.0,,1.9,1.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,78.0,,3.3,5.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,99.0,,5.5,6.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,71.0,,1.1,4.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,520.0,,9.6,31.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,57.0,,3.1,2.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,57.0,,3.1,2.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,44.0,,3.2,1.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,489.0,,25.8,24.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,370.0,,35.5,1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,328.0,,8.0,8.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,758.0,,0.5,84,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,246.0,,6.6,22.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,104.0,,11.5,4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,82.0,,13.7,0.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,182.0,,14.1,14,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,309.0,,20.3,25.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,287.0,,20.1,23,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,282.0,,23.6,19.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,302.0,,19.7,22.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,291.0,,20.8,21.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,260.0,,18.0,20.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,324.0,,21.8,26.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,301.0,,20.4,22.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,357.0,,29.5,26.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,328.0,,25.9,24.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,340.0,,24.3,33.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,480.0,,21.6,43.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,379.0,,28.6,29.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,345.0,,25.1,27.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,410.0,,24.8,34.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,426.0,,19.2,38.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,404.0,,28.6,31.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,358.0,,21.8,30.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,345.0,,25.5,27,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,332.0,,25.4,25.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,402.0,,29.7,31.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,350.0,,32.7,24.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,391.0,,32.1,29.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,365.0,,33.4,24.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,402.0,,30.0,29.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,357.0,,29.4,26.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,168.0,,11.6,11.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,66.0,,4.6,3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,88.0,,4.4,2.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,59.0,,4.3,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,82.0,,2.8,2.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,30.0,,3.3,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,156.0,,12.0,11.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,48.0,,11.6,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,325.0,,16.6,28.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,54.0,,12.8,0.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,196.0,,16.3,14.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,152.0,,13.4,10.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,174.0,,13.6,13.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,263.0,,0.9,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,306.0,,3.7,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,549.0,,5.4,31.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,304.0,,3.5,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,309.0,,3.8,0.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,341.0,,8.1,9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,320.0,,,32,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,723.0,,,79,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,245.0,,17.5,19,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,141.0,,17.3,8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,180.0,,18.7,11.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,233.0,,19.9,17,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,183.0,,21.3,10.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,232.0,,22.8,15.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,75.0,,15.4,1.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,103.0,,14.6,4.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,102.0,,20.8,2.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,128.0,,23.7,3.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,130.0,,21.4,4.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,180.0,,18.5,11.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,158.0,,22.7,7.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,150.0,,25.1,5.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,150.0,,23.7,6.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,168.0,,24.3,7.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,112.0,,17.5,4.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,148.0,,16.7,9.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,187.0,,16.7,13.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,189.0,,22.0,11.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,133.0,,19.6,6.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,183.0,,20.6,11.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,169.0,,22.6,8.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,215.0,,23.0,13.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,145.0,,18.0,8.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,151.0,,17.5,9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,130.0,,20.5,5.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,153.0,,25.1,5.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,130.0,,23.4,4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,166.0,,24.9,7.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,187.0,,17.6,13,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,186.0,,23.4,10.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,255.0,,23.5,17.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,269.0,,26.7,18,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,161.0,,15.9,10.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,159.0,,15.2,10.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,27.0,,0.5,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,20.0,,0.4,...,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,48.0,,4.6,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,335.0,,9.0,0.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,388.0,,15.4,8.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,384.0,,15.3,7.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,384.0,,15.6,7.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,381.0,,14.4,7.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,340.0,,7.3,0.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,346.0,,10.6,0.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,344.0,,9.8,1.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,345.0,,10.9,0.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,305.0,,9.0,1.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,399.0,,37.8,10,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,411.0,,38.4,11.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,15.0,0.4,2.9,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,8.0,0.6,1.2,0.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,93.0,,1.6,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,147.0,,1.6,3.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,34.0,,1.7,0.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,46.0,,2.8,1.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,32.0,,2.4,0.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,50.0,,3.7,1.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,70.0,,1.7,0.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,190.0,,21.0,12,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,114.0,,22.0,3.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,120.0,,21.0,3.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,143.0,,21.0,6.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,116.0,,22.0,2.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,106.0,,22.0,1.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,125.0,,19.0,5.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,132.0,,20.0,6.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,116.0,,20.0,3.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,125.0,,23.0,1.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,139.0,,20.0,6.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,154.0,,22.0,7.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,174.0,,20.0,11,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,211.0,,20.0,15,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,98.0,0.8,18.0,2.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,95.0,0.6,19.0,2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,139.0,6.4,16.0,5.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,79.0,2.4,16.0,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,134.0,1.5,22.0,4.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,288.0,,14.2,3.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,337.0,,19.8,0.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,333.0,,19.6,1.2,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,336.0,,20.0,0.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,336.0,,21.5,1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,326.0,,21.0,0.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,306.0,,20.6,1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,336.0,,26.0,1.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,328.0,,18.2,1.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,322.0,,16.6,0.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,336.0,,25.3,0.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,368.0,,36.9,6.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,33.0,,2.6,0.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,43.0,,3.1,0.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,60.0,,4.1,0.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,49.0,,1.6,1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,59.0,,3.2,1.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,84.0,,4.7,1.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,49.0,,1.1,1.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,260.0,,6.2,1.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,337.0,,5.3,7.9,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,317.0,,7.3,7.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,314.0,,6.5,6.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,377.0,,20.0,31.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,168.0,,11.6,11.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,104.0,,11.5,4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,218.0,,17.3,16.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,248.0,,20.5,18.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,175.0,,18.4,11.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,199.0,,21.0,12.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,46.0,,23.9,3.7,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,199.0,0.0,21.0,12.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,248.0,0.0,20.5,18.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,136.0,9.8,14.2,4.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,139.0,9.8,13.7,5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,211.0,10.8,11.3,13.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,209.0,10.5,11.8,13.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,11.9,2.2,1.1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,11.3,2.4,1,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,57.5,10.7,1.9,0.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,97.2,17.8,3.3,1.4,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,171.0,21.4,4.5,7.5,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,157.4,20.9,4.2,6.3,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,,,,,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,125.6,21.1,2.8,3.6,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,280.4,32.1,4.2,15,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,228.6,28.3,3.8,11.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
,,309.0,33.0,4.2,17.8,Argenfood - Universidad Nacional de Luján,ultraprocesados
